author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price_per_month;commissions;district;street;house_number;underground;residential_complex
RENT_BAND;real_estate_agent;https://www.cian.ru/rent/flat/301404067/;Москва;rent;flat;6;8;3;65.0;160000;0;Тверской;Долгоруковская ;5;Маяковская;
Ирина Кравченко;realtor;https://www.cian.ru/rent/flat/302481543/;Москва;rent;flat;6;25;3;74.0;65000;0;Кузьминки;Зеленодольская ;30к1;Кузьминки;
VISTA Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/295936571/;Москва;rent;flat;2;5;3;130.0;290000;0;Хамовники;Курсовой переулок;8/2;Кропоткинская;
Flat One;real_estate_agent;https://www.cian.ru/rent/flat/302160978/;Москва;rent;flat;56;85;3;180.0;600000;0;Пресненский;1-й Красногвардейский проезд;21с1;Деловой центр;
Станислав Таранов;realtor;https://www.cian.ru/rent/flat/200934354/;Москва;rent;flat;14;14;3;62.0;65000;0;Головинский;Конаковский проезд;12К1;Речной вокзал;
ID 94112572;homeowner;https://www.cian.ru/rent/flat/276811056/;Москва;rent;flat;14;17;3;93.4;120000;0;Бирюлево Восточное;6-я Радиальная ;3к11;Царицыно;
ID 57308326;homeowner;https://www.cian.ru/rent/flat/275284890/;Москва;rent;flat;15;24;3;80.0;110000;0;Кунцево;№ 100 кв-л;1к1;Строгино;
Альфия Аминова;realtor;https://www.cian.ru/rent/flat/253480142/;Москва;rent;flat;12;17;3;79.0;68000;0;; Самуила Маршака;8;Рассказовка;
ID 21267589;homeowner;https://www.cian.ru/rent/flat/297591861/;Москва;rent;flat;32;43;3;79.4;180000;0;Хорошевский;Хорошевское шоссе;16к2;Беговая;
ID 73433476;homeowner;https://www.cian.ru/rent/flat/257280567/;Москва;rent;flat;5;8;3;98.0;130000;0;Дорогомилово;Кутузовский проспект;35К2;Кутузовская;
Самолет Плюс МСК Ленинский проспект;real_estate_agent;https://www.cian.ru/rent/flat/302238492/;Москва;rent;flat;9;22;3;81.1;70000;0;Митино; Барышиха;25К3;Митино;
Capital Mars;real_estate_agent;https://www.cian.ru/rent/flat/299249950/;Москва;rent;flat;12;17;3;114.0;110000;0;Хорошево-Мневники;проспект Маршала Жукова;38К1;Народное Ополчение;
ID 7453160;homeowner;https://www.cian.ru/rent/flat/301120506/;Москва;rent;flat;5;16;3;74.5;170000;0;Тропарево-Никулино; Академика Анохина;12К2;Юго-Западная;
МИЭЛЬ;real_estate_agent;https://www.cian.ru/rent/flat/302463668/;Москва;rent;flat;9;9;3;75.0;55000;0;Выхино-Жулебино;Ферганская ;11К5;Юго-Восточная;
Градсити;real_estate_agent;https://www.cian.ru/rent/flat/302235646/;Москва;rent;flat;3;5;3;58.0;60000;0;Гагаринский; Панферова;7К1;Университет;
Павел Минеев;realtor;https://www.cian.ru/rent/flat/302488338/;Москва;rent;flat;7;9;3;60.5;70000;0;;;4;Тёплый Стан;
ГОРОБМЕН;real_estate_agent;https://www.cian.ru/rent/flat/302360130/;Москва;rent;flat;4;5;3;75.0;75000;0;Лефортово;Княжекозловский переулок;8/16;Лефортово;
